timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
7.00;163.88;veh20;40369301#1_0;33.55;0.00;5.66;veh_passenger;5508.54;2463.80
7.00;75.28;veh21;138268403_0;32.15;0.00;9.30;veh_passenger;6023.17;2628.10
7.00;320.55;veh22;-242364209_0;44.55;0.00;5.20;veh_passenger;4682.95;3495.38
7.00;349.50;veh23;-272600175_0;14.23;0.00;2.61;veh_passenger;8521.02;2394.33
7.00;162.60;veh24;319051177#2_0;10.25;0.00;5.44;veh_passenger;3160.28;4118.57
7.00;262.33;veh25;19782701#1_0;26.11;0.00;8.43;veh_passenger;11791.63;3572.54
7.00;348.16;veh27;322588817#2_0;26.01;0.00;7.93;veh_passenger;6814.01;2785.02
7.00;68.72;veh28;23650531#3_0;7.61;0.00;6.29;veh_passenger;1844.51;3807.56
7.00;305.64;veh29;-52856189_0;40.86;0.00;8.99;veh_passenger;12035.25;4044.81
7.00;348.20;veh3;532824129_0;41.66;0.00;10.97;veh_passenger;11057.62;3404.96
7.00;346.35;veh30;:cluster_312399408_4581629680_8_0;3.40;0.00;7.67;veh_passenger;8479.86;1779.17
7.00;348.16;veh31;24636698_0;45.50;0.00;10.37;veh_passenger;6140.04;3596.76
7.00;80.47;veh32;:195584247_0_0;7.56;0.00;7.88;veh_passenger;8831.83;4726.34
7.00;52.03;veh33;138630336_1;15.72;0.00;5.09;veh_passenger;6227.67;3779.11
7.00;69.01;veh34;166648662_0;15.28;0.00;5.18;veh_passenger;3973.54;3794.51
7.00;174.55;veh35;131270042#0_0;41.78;0.00;12.71;veh_passenger;6950.77;4914.93
7.00;47.93;veh36;531587909#0_0;18.87;0.00;6.77;veh_passenger;4620.15;3448.52
7.00;44.25;veh37;322978493_3;59.47;0.00;17.02;veh_passenger;6105.83;1703.86
7.00;355.51;veh38;627861844_0;15.27;0.00;5.40;veh_passenger;9879.59;2878.83
7.00;235.89;veh39;141895226#1_0;14.30;0.00;4.93;veh_passenger;11040.54;4277.93
7.00;138.65;veh4;20285539#1_0;48.78;0.00;11.17;veh_passenger;3586.00;3200.33
7.00;166.35;veh40;256405906_0;16.64;0.00;5.68;veh_passenger;10973.95;3489.98
7.00;155.24;veh41;26152717_0;17.86;0.00;6.02;veh_passenger;3631.11;4241.50
7.00;252.42;veh42;19788536#0_0;15.48;0.00;5.54;veh_passenger;5185.91;2968.62
7.00;131.24;veh43;98188150#0_0;16.38;0.00;5.81;veh_passenger;4557.50;2506.99
7.00;255.33;veh44;-25915709#5_1;12.26;0.00;4.76;veh_passenger;5585.93;3446.73
7.00;167.05;veh45;-311851485#3_1;10.35;0.00;3.36;veh_passenger;6690.44;3287.09
7.00;181.61;veh46;47371222#2_0;12.41;0.00;4.76;veh_passenger;7465.04;2514.34
7.00;311.93;veh47;-21619595#2_0;10.93;0.00;3.84;veh_passenger;3482.23;1873.18
7.00;260.16;veh50;-136793803_1;9.18;0.00;2.70;veh_passenger;7400.22;3975.03
7.00;225.60;veh51;37414397_0;10.86;0.00;3.67;veh_passenger;11898.76;4137.83
7.00;249.56;veh52;:1530465765_0_0;5.24;0.00;5.20;veh_passenger;12098.28;4741.65
7.00;310.04;veh53;-322978479#4_1;10.37;0.00;3.90;veh_passenger;6605.10;1792.73
7.00;243.45;veh54;206452728#0_1;11.49;0.00;6.39;veh_passenger;4597.42;4747.62
7.00;138.43;veh55;531560560_0;7.09;0.00;1.99;veh_passenger;3677.97;2776.34
7.00;221.85;veh56;22131938_0;13.72;0.00;8.62;veh_passenger;7108.48;1771.96
7.00;26.96;veh57;625454209_0;7.59;0.00;2.49;veh_passenger;2716.32;1995.07
7.00;266.34;veh58;158869966#5_1;7.67;0.00;2.57;veh_passenger;6281.79;2322.19
7.00;248.69;veh59;28422800#0_0;7.24;0.00;2.14;veh_passenger;5505.35;2050.13
7.00;70.06;veh60;464964284#0_0;6.42;0.00;1.32;veh_passenger;8213.03;3666.17
7.00;255.28;veh62;-113278685#16_0;7.46;0.00;2.36;veh_passenger;5376.04;2062.44
7.00;340.07;veh63;-144844733_0;14.84;0.00;9.74;veh_passenger;12021.69;3624.22
7.00;75.73;veh64;531678859#0_0;7.60;0.00;2.50;veh_passenger;5115.49;3317.75
7.00;248.73;veh66;531667853#2_0;5.10;0.00;0.00;veh_passenger;2939.58;3529.51
7.00;340.01;veh67;-256398480#1_0;5.10;0.00;10.77;veh_passenger;11178.18;1582.77
7.00;0.19;veh68;-22025881#3_1;5.10;0.00;0.00;veh_passenger;7472.74;2664.93
7.00;341.83;veh69;465437006#0_0;5.10;0.00;12.44;veh_passenger;10545.71;1518.05
7.00;219.70;veh7;:312396388_1_1;1.87;0.00;10.03;veh_passenger;6463.33;2144.39
7.00;353.38;veh70;21116583#3_0;5.10;0.00;0.00;veh_passenger;5851.02;3733.02
7.00;57.02;veh71;141895230#0_1;5.10;0.00;0.00;veh_passenger;11171.55;4357.65
7.00;317.19;veh72;20285544_0;5.10;0.00;10.42;veh_passenger;3777.09;3037.75
7.00;142.81;veh73;23047603_1;5.10;0.00;0.00;veh_passenger;10638.35;4758.65
7.00;161.27;veh74;114893941#1_0;5.10;0.00;0.00;veh_passenger;10784.17;4437.99
7.00;59.06;veh75;97046724_0;5.10;0.00;15.25;veh_passenger;11801.03;1777.89
7.00;175.02;veh8;136792915_0;54.15;0.00;7.61;veh_passenger;9846.49;4800.05
7.00;256.82;veh9;47402191#0_5;107.67;0.00;16.84;veh_passenger;4969.10;4751.42
8.00;217.84;veh1;144844721_0;57.11;0.00;11.31;veh_passenger;12016.17;3818.69
8.00;256.54;veh10;47402191#0_5;88.39;0.00;13.79;veh_passenger;4987.42;4755.78
8.00;167.19;veh11;18906037#0_0;64.79;0.00;10.21;veh_passenger;8385.70;5497.24
8.00;244.18;veh12;75032476#0_0;59.44;0.00;9.12;veh_passenger;12326.83;3751.83
8.00;255.47;veh13;-25964861#0_0;48.14;0.00;11.87;veh_passenger;5396.86;2651.48
8.00;176.87;veh14;48486472#2_0;4.48;0.00;10.90;veh_passenger;10090.53;4404.85
8.00;271.30;veh15;47402191#0_5;66.87;0.00;13.22;veh_passenger;5008.19;4757.80
8.00;156.65;veh16;205380286_0;13.13;0.00;11.07;veh_passenger;3572.49;4375.54
8.00;85.81;veh17;19783060#1_0;9.44;0.00;15.36;veh_passenger;5243.68;1662.15
8.00;355.85;veh18;48101521_0;44.03;0.00;9.91;veh_passenger;7570.76;4582.40
8.00;18.29;veh19;166750678#0_3;18.21;0.00;11.91;veh_passenger;7754.82;2636.02
8.00;200.19;veh2;453093499#1_0;59.14;0.00;10.06;veh_passenger;7553.56;2444.74
