,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
38935,2439.0,213.29,veh565,18908030_0,163.08,0.0,14.58,veh_passenger,316.21,2069.12
38948,2440.0,215.83,veh565,18908030_0,177.49,0.0,14.42,veh_passenger,307.82,2057.45
38961,2441.0,215.83,veh565,18908030_0,191.85,0.0,14.35,veh_passenger,299.44,2045.85
38974,2442.0,215.85,veh565,18908030_0,206.3,0.0,14.45,veh_passenger,291.0,2034.17
38987,2443.0,215.85,veh565,18908030_0,220.66,0.0,14.36,veh_passenger,282.62,2022.57
39000,2444.0,215.51,veh565,18908030_0,235.54,0.0,14.88,veh_passenger,273.97,2010.5
39013,2445.0,215.97,veh565,18908030_0,250.84,0.0,15.3,veh_passenger,265.03,1998.14
39026,2446.0,215.97,veh565,18908030_0,265.23,0.0,14.39,veh_passenger,256.61,1986.53
39039,2447.0,218.32,veh565,18908030_0,279.59,0.0,14.35,veh_passenger,247.92,1975.16
40556,2564.0,198.23,veh600,325213134_3,9.22,0.0,21.07,veh_passenger,467.07,2429.88
40572,2565.0,196.99,veh600,325213134_3,30.71,0.0,21.49,veh_passenger,460.54,2409.41
40588,2566.0,196.99,veh600,325213134_3,52.32,0.0,21.62,veh_passenger,454.23,2388.75
40604,2567.0,195.27,veh600,325213134_3,73.74,0.0,21.42,veh_passenger,448.56,2368.1
40620,2568.0,195.27,veh600,325213134_3,95.3,0.0,21.56,veh_passenger,442.89,2347.32
40636,2569.0,195.27,veh600,325213134_3,115.96,0.0,20.67,veh_passenger,437.44,2327.39
40652,2570.0,195.27,veh600,325213134_3,136.73,0.0,20.77,veh_passenger,431.98,2307.36
40669,2571.0,195.27,veh600,325213134_3,157.95,0.0,21.22,veh_passenger,426.39,2286.9
40686,2572.0,195.27,veh600,325213134_3,178.93,0.0,20.98,veh_passenger,420.86,2266.66
40702,2573.0,195.27,veh600,325213134_3,199.59,0.0,20.65,veh_passenger,415.42,2246.75
40718,2574.0,195.27,veh600,325213134_3,221.37,0.0,21.78,veh_passenger,409.69,2225.75
43933,2749.0,198.23,veh646,325213134_3,5.1,0.0,0.0,veh_passenger,468.36,2433.79
43953,2750.0,198.23,veh646,325213134_3,6.82,0.0,1.72,veh_passenger,467.82,2432.15
43972,2751.0,198.23,veh646,325213134_3,9.88,0.0,3.06,veh_passenger,466.86,2429.25
43991,2752.0,198.23,veh646,325213134_3,15.13,0.0,5.25,veh_passenger,465.22,2424.26
44010,2753.0,197.81,veh646,325213134_3,22.92,0.0,7.79,veh_passenger,462.82,2416.86
44030,2754.0,196.99,veh646,325213134_3,32.92,0.0,10.0,veh_passenger,459.9,2407.3
44050,2755.0,196.99,veh646,325213134_3,45.16,0.0,12.24,veh_passenger,456.32,2395.6
44070,2756.0,195.27,veh646,325213134_3,58.98,0.0,13.82,veh_passenger,452.45,2382.33
44090,2757.0,195.27,veh646,325213134_3,75.06,0.0,16.08,veh_passenger,448.22,2366.83
44110,2758.0,195.27,veh646,325213134_3,92.82,0.0,17.76,veh_passenger,443.54,2349.71
44130,2759.0,195.27,veh646,325213134_3,111.84,0.0,19.02,veh_passenger,438.53,2331.37
44150,2760.0,195.27,veh646,325213134_3,131.21,0.0,19.38,veh_passenger,433.43,2312.68
44170,2761.0,195.27,veh646,325213134_3,151.04,0.0,19.83,veh_passenger,428.21,2293.56
44189,2762.0,195.27,veh646,325213134_3,170.52,0.0,19.48,veh_passenger,423.08,2274.78
44207,2763.0,195.27,veh646,325213134_3,190.29,0.0,19.77,veh_passenger,417.87,2255.71
44225,2764.0,195.27,veh646,325213134_3,209.14,0.0,18.85,veh_passenger,412.91,2237.53
55059,3390.0,198.23,veh794,325213134_3,11.98,0.0,21.11,veh_passenger,466.2,2427.25
55078,3391.0,196.99,veh794,325213134_3,33.19,0.0,21.2,veh_passenger,459.82,2407.04
55097,3392.0,196.56,veh794,325213134_3,54.43,0.0,21.24,veh_passenger,453.65,2386.73
55116,3393.0,195.27,veh794,325213134_3,75.2,0.0,20.77,veh_passenger,448.18,2366.7
55135,3394.0,195.27,veh794,325213134_3,96.0,0.0,20.8,veh_passenger,442.7,2346.64
55154,3395.0,195.27,veh794,325213134_3,117.73,0.0,21.73,veh_passenger,436.98,2325.68
55173,3396.0,195.27,veh794,325213134_3,138.46,0.0,20.73,veh_passenger,431.52,2305.69
55193,3397.0,195.27,veh794,325213134_3,159.5,0.0,21.03,veh_passenger,425.98,2285.41
55213,3398.0,195.27,veh794,325213134_3,180.74,0.0,21.24,veh_passenger,420.39,2264.93
55232,3399.0,195.27,veh794,325213134_3,201.67,0.0,20.94,veh_passenger,414.87,2244.74
55251,3400.0,195.27,veh794,325213134_3,222.36,0.0,20.68,veh_passenger,409.43,2224.79
60364,3605.0,198.23,veh845,325213134_3,18.79,0.0,27.3,veh_passenger,464.07,2420.79
60394,3606.0,196.99,veh845,325213134_3,45.87,0.0,27.08,veh_passenger,456.11,2394.92
60424,3607.0,195.27,veh845,325213134_3,72.27,0.0,26.4,veh_passenger,448.95,2369.52
60454,3608.0,195.27,veh845,325213134_3,99.56,0.0,27.3,veh_passenger,441.76,2343.2
60484,3609.0,195.27,veh845,325213134_3,126.38,0.0,26.82,veh_passenger,434.7,2317.34
60514,3610.0,195.27,veh845,325213134_3,153.25,0.0,26.87,veh_passenger,427.63,2291.44
60544,3611.0,195.27,veh845,325213134_3,179.61,0.0,26.37,veh_passenger,420.68,2266.01
60574,3612.0,195.27,veh845,325213134_3,206.1,0.0,26.48,veh_passenger,413.71,2240.47
